phase_1_address,score,e911_address
387 s bingham st,1.0,387 S BINGHAM ST
35 edgewood ln,1.0,35 EDGEWOOD Ln
496 columbus smith rd,1.0,496 COLUMBUS SMITH RD
125 n bingham st,1.0,125 N BINGHAM ST
262 delong ln,1.0,262 DELONG LN
140 royce hill rd,1.0,140 ROYCE HILL RD
332 lapham bay rd,1.0,332 LAPHAM BAY RD
869 watch point rd,1.0,869 WATCH POINT RD
1011 galvin rd,1.0,1011 GALVIN RD
1571 sperry rd,1.0,1571 SPERRY RD
1287 n bingham st,1.0,1287 N BINGHAM ST
1335 n bingham st,1.0,1335 N BINGHAM ST
889 n orwell rd,1.0,889 N ORWELL RD
323 n bingham st,1.0,323 N BINGHAM ST
226 holmes ln,1.0,226 HOLMES LN
744 morgan rd,1.0,744 MORGAN RD
321 n bingham st,1.0,321 N BINGHAM ST
188 james rd,1.0,188 JAMES RD
187 barnes rd,1.0,187 BARNES RD
351 s bingham st,1.0,351 S BINGHAM ST
998 n cream hill rd,1.0,998 N CREAM HILL RD
1552 halladay rd,1.0,1552 HALLADAY RD
669 buttolph rd,1.0,669 BUTTOLPH RD
738 brown rd,1.0,738 BROWN RD
901 n bingham st,1.0,901 N BINGHAM ST
358 swamp rd,1.0,358 SWAMP RD
659 three mile bridge rd,1.0,659 THREE MILE BRIDGE RD
148 needham hill rd,1.0,148 NEEDHAM HILL RD
916 shard villa rd,1.0,916 SHARD VILLA RD
10 hibbard hill rd,0.6666666666666666,10 HIBBARD HILL
20 church st,1.0,20 CHURCH St
273 leland rd,1.0,273 LELAND RD
475 elmendorf rd,1.0,475 ELMENDORF RD
655 columbus smith rd,1.0,655 COLUMBUS SMITH RD
1301 cider mill rd,1.0,1301 CIDER MILL RD
1148 cider mill rd,1.0,1148 CIDER MILL RD
44 oliver howe ct,1.0,44 OLIVER HOWE CT
1447 w salisbury rd,1.0,1447 W SALISBURY RD
201 fisher rd,1.0,201 FISHER RD
1 cook rd,1.0,1 COOK RD
985 three mile bridge rd,1.0,985 THREE MILE BRIDGE RD
475 doolittle rd,1.0,475 DOOLITTLE RD
695 doolittle rd,1.0,695 DOOLITTLE RD
24 mutton square rd,1.0,24 MUTTON SQUARE RD
199 main st,1.0,199 MAIN ST
277 tottingham rd,1.0,277 TOTTINGHAM RD
469 foote farm rd,1.0,469 FOOTE FARM RD
30 shoreham depot rd,1.0,30 SHOREHAM DEPOT RD
138 elmendorf rd,1.0,138 ELMENDORF RD
2298 n bingham st,1.0,2298 N BINGHAM ST
1523 richville rd,1.0,1523 RICHVILLE RD
535 sperry rd,1.0,535 SPERRY RD
68 philion rd,1.0,68 PHILION RD
158 needham hill rd,1.0,158 NEEDHAM HILL RD
19 fisher rd,1.0,19 FISHER RD
280 main st,1.0,280 MAIN ST
1813 halladay rd,1.0,1813 HALLADAY RD
51 inn rd,1.0,51 INN RD
350 duffany rd,1.0,350 DUFFANY RD
212 stickney rd,1.0,212 STICKNEY RD
31 hornbeam hill rd,1.0,31 HORNBEAM HILL RD
445 richville rd,1.0,445 RICHVILLE RD
451 n orwell rd,1.0,451 N ORWELL RD
13 s bingham st,1.0,13 S BINGHAM ST
1272 cider mill rd,1.0,1272 CIDER MILL RD
741 jenison rd,1.0,741 JENISON RD
1674 sperry rd,1.0,1674 SPERRY RD
695 dewey rd,1.0,695 DEWEY RD
176 n orwell rd,1.0,176 N ORWELL RD
1723 shard villa rd,1.0,1723 SHARD VILLA RD
458 swamp rd,1.0,458 SWAMP RD
146 kerrfield dr,1.0,146 KERRFIELD DR
426 watch point rd,1.0,426 WATCH POINT RD
31 kerrfield dr,1.0,31 KERRFIELD DR
645 jenison rd,1.0,645 JENISON RD
101 s bingham st,1.0,101 S BINGHAM ST
354 n main st,1.0,354 N MAIN St
432 robbins rd,1.0,432 ROBBINS RD
73 lake st,1.0,73 LAKE ST
124 hemenway hill rd,1.0,124 HEMENWAY HILL RD
1449 lapham bay rd,1.0,1449 LAPHAM BAY RD
845 leland rd,1.0,845 LELAND RD
1528 wooster rd,1.0,1528 WOOSTER RD
676 parkhill rd,1.0,676 PARKHILL RD
300 delong ln,1.0,300 DELONG LN
400 main st,1.0,400 MAIN ST
219 blake roy rd,1.0,219 BLAKE ROY RD
1348 peet rd,1.0,1348 PEET RD
553 wooster rd,1.0,553 WOOSTER RD
6 sampson rd,1.0,6 SAMPSON RD
5 sampson rd,1.0,5 SAMPSON RD
34 creek rd,1.0,34 CREEK RD
228 columbus smith rd,1.0,228 COLUMBUS SMITH RD
11 inn rd,1.0,11 INN RD
155 church st,1.0,155 CHURCH ST
212 royce hill rd,1.0,212 ROYCE HILL RD
18 shoreham depot rd,1.0,18 SHOREHAM DEPOT RD
201 lapham bay rd,1.0,201 LAPHAM BAY RD
175 main st,1.0,175 MAIN ST
1260 morgan rd,1.0,1260 MORGAN RD
346 morse rd,1.0,346 MORSE RD
615 morse rd,1.0,615 MORSE RD
835 morse rd,1.0,835 MORSE RD
685 webster rd,1.0,685 WEBSTER RD
398 douglas rd,1.0,398 DOUGLAS RD
183 old sawmill rd,1.0,183 OLD SAWMILL RD
72 elmendorf rd,1.0,72 ELMENDORF RD
1076 wooster rd,1.0,1076 WOOSTER RD
1079 smith st,1.0,1079 SMITH ST
656 jenison rd,1.0,656 JENISON RD
410 main st,1.0,410 MAIN ST
1916 smith st,1.0,1916 SMITH ST
239 cider mill rd,1.0,239 CIDER MILL RD
1198 n cream hill rd,1.0,1198 N CREAM HILL RD
1884 basin harbor rd,1.0,1884 BASIN HARBOR RD
296 pidgeon rd e,1.0,296 PIDGEON RD E
